"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Fiddlesticks",0.93,44.81,0.03,0.71,5195
"Alistar",0.2,40.73,0.01,0.53,1208
"Sivir",0.27,41.17,0.01,0.41,1613
"Soraka",0.66,50.4,0.06,2.15,10299
"Nunu",1.28,33.92,0.04,0.53,7750
"Miss Fortune",0.21,44.53,0.05,6.38,8681
"Ashe",0.65,44.97,0.08,2.02,14670
"Morgana",0.61,50.41,0.09,35.2,16030
"Zilean",1.8,52.22,0.05,0.52,9816
"Evelynn",0.09,36.44,0,4.44,590
"Twitch",0.59,44.75,0.02,0.8,4297
"Amumu",1.2,49.18,0.06,0.73,11659
"Sona",0.29,51.94,0.01,0.16,1469
"Janna",0.13,42.83,0.01,0.32,1151
"Taric",0.76,48.27,0.02,0.49,3435
"Caitlyn",0.41,43.52,0.11,21.58,20522
"Blitzcrank",0.07,39.27,0.01,28.63,1538
"Jarvan IV",1.64,47,0.13,1.26,23520
"Elise",0.18,42.67,0.01,7.8,2646
"Orianna",1.72,49.2,0.08,0.62,14636
"Brand",1.24,48.81,0.09,6.91,16246
"Lee Sin",0.37,41.37,0.08,25.07,15213
"Ezreal",0.99,41.56,0.12,1.55,22904
"Leona",0.15,44.93,0.02,23.23,4580
"Kog'Maw",1.7,48.91,0.02,0.09,3707
"Lux",0.7,49.8,0.12,4.07,21980
"Xerath",0.94,49.29,0.05,1.49,10176
"Ahri",1.95,50.23,0.17,3.73,32309
"Varus",0.58,44.12,0.03,0.36,6109
"Nautilus",1.3,49.74,0.2,30.35,37857
"Sejuani",1.7,45.85,0.04,0.32,7113
"Lulu",1.54,48.13,0.08,1.13,14848
"Draven",1.22,45.68,0.07,8.8,12893
"Kha'Zix",0.38,46.75,0.03,3.64,4905
"Syndra",1.73,48.63,0.09,1.63,17650
"Kayn",0.79,46.26,0.07,4.09,12269
"Zyra",0.6,47.68,0.03,2.09,5457
"Kai'Sa",0.26,41.57,0.05,3.61,8866
"Vel'Koz",1.83,52.24,0.09,0.73,16543
"Taliyah",1.59,50.75,0.02,0.09,3866
"Braum",0.12,40.15,0,0.79,822
"Jhin",0.56,47.27,0.09,3.65,16999
"Kindred",1.28,43.66,0.03,0.33,5380
"Jinx",0.13,43.92,0.02,2.09,3620
"Senna",1.63,49.56,0.24,18.42,45731
"Ekko",1.76,48.37,0.31,24.28,58175
"Vi",1.24,44.99,0.08,1.01,15037
"Nami",0.02,41.44,0,1.11,473
"Yuumi",0.45,27.47,0.01,1.72,2763
"Thresh",0.06,34.93,0.01,7.09,1967
"Rek'Sai",0.41,45.63,0.01,1.7,2402
"Ivern",1.06,38.99,0.01,0.18,1598
"Kalista",1.67,48.83,0.02,0.19,4393
"Bard",0.31,44.87,0.01,0.38,1821
"Rakan",0.26,46.94,0.01,0.48,2203
"Xayah",0.11,40.69,0.01,1.28,1413
"Pyke",1.37,48.45,0.16,20.37,29754
"Sett",68.68,51.68,9.62,24.97,1798325
"Ornn",92.08,52.04,7.42,5.08,1386980
"Cassiopeia",11.27,51.11,0.57,5.07,107445
"Darius",96.74,50.32,11.14,40.29,2081168
"Rumble",53.76,50.55,1.91,0.66,357099
"Rengar",31.55,50.47,1.52,2.94,284104
"Katarina",2.41,50.81,0.2,7.51,37690
"Nocturne",6.84,52.67,0.59,6.98,109843
"Kled",88.76,52.09,3.06,2.54,571653
"Singed",92.47,53.53,2.27,0.47,423968
"Skarner",32.38,51.87,0.31,0.1,57370
"Karthus",3.75,48.82,0.07,0.5,13428
"Shen",79.93,51.69,4.11,0.43,768501
"Nasus",93.22,52.52,6.24,5.41,1165475
"Aurelion Sol",3.44,50.66,0.03,0.18,5474
"Teemo",83.53,51.79,6.71,11.16,1253614
"Diana",5.2,51.62,0.63,24.87,117548
"Wukong",23.51,50.91,0.5,0.21,92855
"Dr. Mundo",47.99,52.15,2.27,2.54,424635
"Kayle",84.24,51.44,2.67,0.85,498366
"Quinn",80.96,51.25,2.67,3.97,499429
"Camille",77.88,49.07,2.76,0.68,515068
"Heimerdinger",31.21,50.36,0.97,1.6,181638
"Fiora",96.29,49.96,7.59,9.8,1418138
"Mordekaiser",87.77,50.21,12.16,35.13,2273167
"Shaco",2.69,50.03,0.19,11.47,36366
"Yorick",97.64,53.46,3.02,1.48,563542
"Talon",4.36,48.48,0.26,4.87,48100
"Illaoi",96.86,51.4,4.52,9.42,845289
"Zoe",2.05,47.97,0.07,1.79,12288
"Volibear",30.21,51.73,1.33,0.78,249468
"Kennen",83.02,49.22,2,0.71,373292
"Maokai",57.32,51.83,1.21,0.14,225851
"Malzahar",8.54,51.57,0.41,5.44,77321
"Zac",7.69,50.23,0.45,1.83,84051
"Poppy",62.7,49.15,1.62,0.31,303444
"Neeko",8.56,50.14,0.3,0.67,55368
"Qiyana",3.39,46,0.21,5.23,38583
"Garen",92.45,50.74,12.39,9.44,2314780
"Olaf",14.77,48.41,1.12,10.96,209396
"Pantheon",45.43,46.53,1.94,1.74,363041
"Renekton",89.42,48.91,7.07,6.26,1321804
"Hecarim",5.1,49.45,0.18,1.14,32848
"Veigar",3.11,50.23,0.26,3.51,48115
"Malphite",48.72,51.89,5.05,4.02,944081
"Twisted Fate",3.33,47.28,0.11,0.35,19861
"Jax",45.42,49.32,6.33,11.31,1182680
"Gragas",2.53,47.75,0.08,0.29,14998
"Akali",34.69,46.49,4.37,28.43,816342
"Urgot",93.93,51.28,3.53,2.24,659084
"Sion",78.57,51.35,1.26,0.12,236218
"Yasuo",18.63,48.97,4,50.51,746808
"Swain",8.94,51.03,0.53,2.56,99194
"Tahm Kench",34.93,47.95,0.46,0.3,86633
"Jayce",67.46,46.05,1.06,0.28,198973
"Tryndamere",86.31,49.92,5.31,6.14,991917
"Fizz",2.99,49.87,0.28,18.22,53097
"Vladimir",45.33,48.42,4.27,9.59,797683
"Kassadin",5.68,48.46,0.32,11.25,60395
"Annie",4.39,49.64,0.11,0.66,21229
"Zed",3.99,48.68,0.46,31.81,85676
"Graves",4.19,48.6,0.13,0.38,25083
"LeBlanc",2.16,47.04,0.13,10.38,24426
"Riven",88.95,48.33,4.36,1.48,814649
"Aatrox",84.69,46.97,5.32,4.3,994127
"Viktor",11.58,49.81,0.22,0.17,40664
"Cho'Gath",64.77,49.15,2.63,1.16,492391
"Karma",6.79,48.25,0.25,0.27,47318
"Lucian",5.17,47.35,0.92,3.73,172636
"Azir",3.68,45.59,0.05,0.22,9356
"Gangplank",89.94,48.61,2.51,0.87,469077
"Aphelios",2.01,45.36,0.18,52.31,33202
"Nidalee",3.25,43.11,0.11,0.66,20882
"Lissandra",10.34,48.49,0.19,0.35,35580
"Galio",8.17,46.89,0.25,0.48,46738
"Corki",5.07,45.65,0.04,0.23,8164
"Irelia",55.2,45.4,4.31,4.03,804813
"Rammus",2.24,48.75,0.08,4.29,14054
"Ryze",37.53,45.62,2.57,2.72,480512
"Sylas",16.95,47.02,1.44,3.46,268772
"Anivia",5.52,48.32,0.11,0.42,20897
"Ziggs",2.67,48.28,0.05,0.13,8680
"Shyvana",5.22,48.4,0.17,0.62,32096
"Vayne",15.44,48.74,2.24,9.83,418166
"Warwick",3.84,49.04,0.35,4.19,65955
"Gnar",97.46,49.18,2.48,0.71,463350
"Master Yi",2.62,46.52,0.36,26.42,66864
"Tristana",2.17,45.91,0.19,1.51,34853
"Xin Zhao",3.02,44.12,0.13,0.67,24542
"Trundle",29.85,47.38,0.64,0.19,119053
"Udyr",6.66,44.12,0.15,0.76,28188
