"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Annie",1.81,49.07,0.09,1.17,15041
"Olaf",0.15,48.37,0.01,5.99,1623
"Galio",0.48,42.77,0.03,2.44,5043
"Xin Zhao",0.29,46.75,0.01,0.54,2105
"Urgot",0.64,48.02,0.04,4.89,6733
"LeBlanc",0.39,38.87,0.03,12.2,4649
"Vladimir",1.07,47.79,0.08,8.31,14745
"Fiddlesticks",0.15,36.92,0.01,3.91,1441
"Kayle",1.15,48.37,0.04,0.56,6938
"Master Yi",0.35,51.63,0.04,34.22,7083
"Alistar",0.25,28.74,0.01,0.58,1757
"Ryze",1.06,44.24,0.04,0.51,7245
"Sion",1.1,50.21,0.03,0.17,4798
"Soraka",1.1,48.2,0.09,2.42,15476
"Warwick",0.03,31.61,0,6.61,541
"Nunu",0.49,14.12,0.02,0.47,3039
"Tryndamere",0.31,45.59,0.02,5.82,3356
"Jax",0.17,47.76,0.02,9.92,3637
"Morgana",0.77,40.3,0.1,35.86,18240
"Zilean",0.91,44.9,0.03,1.04,5646
"Singed",1.04,45.37,0.02,0.36,3996
"Evelynn",0.03,27.85,0,5.78,237
"Karthus",1.24,49.41,0.02,0.68,3722
"Cho'Gath",1.5,48.51,0.06,0.94,9857
"Amumu",0.06,31.59,0,1.34,709
"Rammus",0.15,26.54,0.01,5.63,1021
"Anivia",1.89,45.86,0.03,0.39,6068
"Shaco",0.18,35.91,0.01,8.81,1969
"Dr. Mundo",0.39,44.69,0.02,1.67,2806
"Sona",0.53,39.29,0.02,0.25,3637
"Kassadin",0.2,42.02,0.01,14.03,2142
"Irelia",1.2,44.34,0.12,7.25,21539
"Janna",0.27,27.35,0.01,0.31,2318
"Gangplank",0.3,37.59,0.01,0.73,1575
"Karma",0.6,38.97,0.03,0.39,5322
"Taric",0.45,40.51,0.01,0.52,2140
"Trundle",0.14,34.56,0.01,1.84,1571
"Blitzcrank",0.25,26.08,0.03,32.31,4970
"Malphite",0.36,39.13,0.04,4.04,6675
"Katarina",0.78,48.91,0.05,8.74,9606
"Nocturne",0.15,45.36,0.01,3.11,1444
"Maokai",1.58,55.84,0.11,2.57,19147
"Renekton",0.26,43.77,0.03,8.83,4441
"Jarvan IV",0.26,43.76,0.02,0.94,2708
"Elise",0.03,34.9,0,8.25,255
"Orianna",0.98,50.37,0.04,0.6,7647
"Wukong",0.42,52.21,0.03,7.75,5145
"Brand",1.44,44.52,0.1,7.82,17138
"Lee Sin",0.08,34.61,0.01,17.95,2265
"Rumble",0.61,49.3,0.01,0.36,2483
"Skarner",0.11,29.91,0,0.06,117
"Nasus",0.19,42.71,0.02,10.94,2962
"Nidalee",0.36,39.35,0.01,0.76,2315
"Udyr",0.11,41.87,0,0.64,492
"Poppy",0.29,42.04,0.01,0.49,1741
"Gragas",0.19,35.14,0,0.2,777
"Pantheon",0.93,43.47,0.06,4.04,9914
"Mordekaiser",0.39,46.74,0.04,16.78,7794
"Yorick",0.23,43.71,0.01,1.64,1263
"Akali",0.32,36.75,0.02,5,3905
"Garen",0.43,46.15,0.06,13.96,10790
"Leona",0.26,30.5,0.03,25.21,5450
"Malzahar",1.23,50.01,0.05,5.08,9181
"Talon",0.36,41.96,0.02,5.4,3539
"Riven",0.31,43.06,0.01,0.63,2016
"Shen",0.26,47.03,0.02,0.85,2894
"Lux",1.26,43.76,0.2,4.46,34910
"Shyvana",0.05,36.74,0,2.1,479
"Ahri",0.74,46.7,0.06,2.65,9679
"Graves",1.01,51.5,0.12,14.71,20439
"Fizz",0.41,49.47,0.03,20.38,5975
"Volibear",0.37,46.86,0.02,1.42,3457
"Rengar",1.45,51.87,0.06,2.31,9982
"Nautilus",0.43,36.44,0.05,24.64,9278
"Sejuani",0.04,31.31,0,0.34,198
"Fiora",0.18,46.14,0.01,8.97,2471
"Lulu",0.36,34.39,0.03,3.71,5743
"Hecarim",0.08,34.26,0,0.84,505
"Kha'Zix",0.03,45.57,0,2.09,305
"Darius",0.25,44.25,0.03,48.39,4796
"Jayce",1.49,46.31,0.04,0.51,7392
"Lissandra",0.6,45.17,0.01,0.56,2579
"Diana",0.3,46.62,0.03,17.25,4972
"Aurelion Sol",0.91,44.71,0.01,0.15,1181
"Kayn",0.06,44.41,0.01,17.03,1761
"Zoe",0.82,44.01,0.03,2.7,4992
"Zyra",1,43.9,0.05,2.44,8310
"Gnar",0.69,43.31,0.02,0.79,3364
"Zac",0.1,44.08,0.01,8.97,1359
"Camille",0.32,45.99,0.01,0.51,1759
"Braum",0.23,26.64,0.01,0.85,1513
"Zed",0.69,47.83,0.07,28.57,11820
"Kled",0.48,49.76,0.01,1.75,2074
"Ekko",0.2,47.31,0.03,17.16,5456
"Qiyana",0.5,45.27,0.01,0.64,1860
"Vi",0.07,42.11,0,0.69,596
"Aatrox",0.25,41.37,0.02,4.5,2903
"Nami",0.19,26.86,0.01,0.47,2051
"Azir",1.72,45.03,0.03,0.3,5538
"Yuumi",0.21,22.52,0.03,29.19,4573
"Thresh",0.46,29.05,0.07,7.22,13163
"Illaoi",0.22,40.16,0.01,10.85,1656
"Rek'Sai",0.04,50.76,0,1.58,197
"Ivern",0.41,37.01,0,0.19,608
"Bard",0.4,30.91,0.02,0.92,2679
"Rakan",0.28,24.87,0.01,0.32,1773
"Ornn",0.24,43.72,0.01,2.75,2573
"Sylas",0.29,43.32,0.03,14.12,5939
"Pyke",0.71,40.29,0.07,17.39,12737
"Sett",0.71,48.23,0.09,17,15904
"Yasuo",14.37,53.46,2.59,48.89,454784
"Miss Fortune",96.69,50.95,17.43,7.57,3059513
"Cassiopeia",14.22,53.1,0.71,4.32,123984
"Vayne",85.02,51.09,14.13,14.11,2480785
