"BottomBalanced10.champName","BottomBalanced10.winRate.x","BottomBalanced10.gamesPlayed.x","BottomBalanced10.gamesWon.x","BottomBalanced10.winRate.y","BottomBalanced10.gamesPlayed.y","BottomBalanced10.gamesWon.y"
"Aphelios",0.4843,1168533,565921,0.4918,1109657,545729
"Ashe",0.5113,2461075,1258348,0.5159,2111742,1089448
"Caitlyn",0.502,3309749,1661494,0.5041,2745684,1384099
"Cassiopeia",0.531,123984,65836,0.5241,89884,47108
"Draven",0.5021,784012,393652,0.5018,693034,347764
"Ezreal",0.4914,4530378,2226228,0.4951,4001815,1981299
"Jhin",0.5157,2521036,1300098,0.5195,2207489,1146791
"Jinx",0.5139,2084085,1071011,0.5185,1780442,923159
"Kai'Sa",0.4759,2205156,1049434,0.4792,2327351,1115267
"Kalista",0.4905,532126,261008,0.487,494486,240815
"Kog'Maw",0.5167,247016,127633,0.5212,226601,118104
"Lucian",0.4824,2425193,1169913,0.4733,1801327,852568
"Miss Fortune",0.5095,3059513,1558822,0.5047,2197214,1108934
"Sivir",0.5078,738817,375171,0.5088,546028,277819
"Syndra",0.5186,136382,70728,0.4963,95885,47588
"Tristana",0.4924,1404372,691513,0.4901,1141696,559545
"Twitch",0.51,577528,294539,0.5138,472035,242532
"Varus",0.5066,1828670,926404,0.5045,1474732,744002
"Vayne",0.5109,2480785,1267433,0.509,2072343,1054823
"Xayah",0.4847,803708,389557,0.4858,653738,317586
