"BottomMerged2.champName","BottomMerged2.winRate.x","BottomMerged2.gamesPlayed.x","BottomMerged2.gamesWon.x","BottomMerged2.winRate.y","BottomMerged2.gamesPlayed.y","BottomMerged2.gamesWon.y","BottomMerged2.HOlessequal","BottomMerged2.HOgreaterequal","BottomMerged2.HOequal"
"Ashe",0.513,1671027,857237,0.5158,2061208,1063171,0,1,0
"Caitlyn",0.486,3295977,1601845,0.4868,3213722,1564440,0.0206,0.9794,0.0412
"Cassiopeia",0.539,88945,47941,0.533,104619,55762,0.9958,0.0042,0.0084
"Heimerdinger",0.5201,120126,62478,0.5203,124106,64572,0.4619,0.5381,0.9239
"Jhin",0.5124,2291939,1174390,0.5141,2504390,1287507,1e-04,0.9999,2e-04
"Kai'Sa",0.4662,2213024,1031712,0.4671,2105861,983648,0.0305,0.9695,0.0609
"Kalista",0.4896,211455,103528,0.4964,256069,127113,0,1,0
"Kog'Maw",0.5166,166464,85995,0.5176,184569,95533,0.2765,0.7235,0.5529
"Lucian",0.4942,2504062,1237507,0.491,2704584,1327951,1,0,0
"Quinn",0.4942,31646,15639,0.4937,36186,17865,0.5503,0.4497,0.8994
"Sivir",0.4954,450166,223012,0.4965,476386,236526,0.1447,0.8553,0.2893
"Syndra",0.4892,53648,26245,0.4944,64487,31882,0.0379,0.9621,0.0758
"Taliyah",0.5087,74771,38036,0.51,59217,30201,0.3175,0.6825,0.6349
"Tristana",0.4892,1098318,537297,0.4904,1192158,584634,0.0348,0.9652,0.0695
"Twitch",0.5119,342517,175334,0.5099,395795,201816,0.9566,0.0434,0.0867
"Varus",0.4932,834366,411509,0.4929,885721,436572,0.6527,0.3473,0.6946
"Vayne",0.5084,1932365,982414,0.5113,2246594,1148684,0,1,0
"Xayah",0.4762,942139,448647,0.4756,1011920,481269,0.7995,0.2005,0.4009
"Yasuo",0.521,335902,175005,0.5259,374590,196997,0,1,0
