"BottomRisk4.champName","BottomRisk4.winRate.x","BottomRisk4.gamesPlayed.x","BottomRisk4.gamesWon.x","BottomRisk4.winRate.y","BottomRisk4.gamesPlayed.y","BottomRisk4.gamesWon.y","BottomRisk4.HOlessequal","BottomRisk4.HOgreaterequal","BottomRisk4.HOequal","BottomRisk4.riskDifference","BottomRisk4.riskLower","BottomRisk4.riskUpper"
"Corki",0.4696,21171,9942,0.4788,23654,11326,0.0256,0.9744,0.0511,-0.0092,-0.0139,-0.0045
"Draven",0.4909,625497,307056,0.4887,663052,324034,0.9937,0.0063,0.0126,0.0022,0.0013,0.0031
"Jhin",0.5147,2195746,1130150,0.5223,2547389,1330501,0,1,0,-0.0076,-0.0081,-0.0071
"Jinx",0.514,2215308,1138668,0.5128,2348990,1204562,0.9948,0.0052,0.0104,0.0012,7e-04,0.0017
"Kalista",0.5021,328479,164929,0.4983,554503,276309,0.9997,3e-04,6e-04,0.0038,0.0027,0.0049
"Lucian",0.4912,2302864,1131167,0.4899,2370076,1161100,0.9975,0.0025,0.0049,0.0013,8e-04,0.0018
"Miss Fortune",0.5213,4061806,2117419,0.5204,4168706,2169395,0.9951,0.0049,0.0098,9e-04,6e-04,0.0012
"Tahm Kench",0.5495,40866,22456,0.5559,112833,62724,0.0129,0.9871,0.0258,-0.0064,-0.0093,-0.0035
"Varus",0.4918,883822,434664,0.5002,1069402,534915,0,1,0,-0.0084,-0.0091,-0.0077
"Veigar",0.5211,91401,47629,0.5252,106812,56098,0.0341,0.9659,0.0682,-0.0041,-0.0064,-0.0018
