"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Annie",0.33,34.53,0.01,0.61,1335
"Galio",0.9,39.42,0.03,0.44,3960
"Twisted Fate",1.66,42.26,0.06,0.41,8874
"LeBlanc",0.13,34.18,0.01,11.04,1337
"Vladimir",0.05,27.27,0,9.25,737
"Kayle",1.13,43.32,0.04,0.67,5519
"Alistar",0.46,32.47,0.01,0.49,2267
"Ryze",0.25,33.35,0.02,1.79,2399
"Sivir",0.07,23.12,0,0.35,333
"Soraka",0.13,26.25,0.01,4.65,2076
"Tristana",0.47,37.7,0.04,1.33,5700
"Miss Fortune",0.03,31.63,0.01,9.91,1347
"Ashe",0.11,34.45,0.01,1.69,1997
"Morgana",0.37,46.44,0.05,34.7,7517
"Zilean",0.1,29.73,0,0.49,444
"Anivia",0.37,19.95,0.01,0.41,1138
"Sona",0.06,28.67,0,0.3,450
"Kassadin",0.48,47.73,0.03,10.16,3939
"Irelia",0.3,31.67,0.02,3.55,3543
"Janna",0.09,25.19,0,0.26,647
"Gangplank",0.12,26.94,0,0.77,553
"Corki",0.35,32.91,0,0.19,395
"Karma",0.17,39.46,0.01,0.33,1181
"Taric",0.94,45.58,0.03,1.31,4456
"Veigar",0.1,34.23,0.01,3.23,1230
"Swain",0.06,35.7,0,2.22,521
"Caitlyn",0.03,25.52,0.01,18.31,1066
"Blitzcrank",0.2,35.49,0.03,28.24,3880
"Katarina",0.21,34.8,0.02,7.48,2764
"Renekton",0.45,37.96,0.04,5.89,5501
"Orianna",0.06,34.28,0,0.64,458
"Brand",1.2,48.14,0.08,6.55,13150
"Vayne",0.57,42.44,0.09,9.72,13590
"Cassiopeia",0.1,33.98,0,4.27,727
"Heimerdinger",0.33,32.52,0.01,1.23,1430
"Ezreal",0.5,37.32,0.07,1.5,10717
"Mordekaiser",1.47,41.67,0.19,27.25,29413
"Yorick",0.65,42.81,0.02,1.33,2976
"Akali",0.12,28.68,0.01,24.7,2043
"Kennen",0.2,32.63,0,0.57,668
"Garen",1.4,39.76,0.17,7.79,26150
"Leona",0.36,43.78,0.06,31.48,9378
"Malzahar",0.3,38.77,0.01,5.32,2208
"Talon",0.63,36.45,0.04,5.16,6467
"Kog'Maw",0.96,48.23,0.01,0.09,1756
"Lux",0.08,34.39,0.01,3.65,2079
"Xerath",0.05,29.59,0,1.34,419
"Ahri",0.07,36.92,0.01,3.65,1005
"Fizz",1.08,42.88,0.1,19.33,15190
"Varus",0.07,33.92,0,0.32,622
"Nautilus",1.26,46.74,0.19,32.69,29270
"Viktor",0.07,33.94,0,0.18,221
"Fiora",0.24,41.91,0.02,8.38,2751
"Ziggs",0.14,32.92,0,0.22,644
"Lulu",0.14,40.3,0.01,1.28,1283
"Draven",0.16,33.93,0.01,8.13,1288
"Darius",0.25,38.73,0.03,37.52,4678
"Jayce",0.72,37.96,0.01,0.24,1586
"Lissandra",0.15,37.68,0,0.34,414
"Syndra",0.41,30.62,0.02,1.49,3050
"Aurelion Sol",0.7,37.18,0.01,0.17,944
"Zoe",0.14,37.74,0,1.7,742
"Zyra",0.29,43.12,0.01,1.79,1948
"Kai'Sa",0.67,40.99,0.1,2.67,15244
"Gnar",0.29,34.66,0.01,0.57,1030
"Yasuo",0.64,40.45,0.13,48.33,20911
"Vel'Koz",0.06,36.99,0,0.71,438
"Braum",0.14,30.59,0.01,0.83,912
"Jhin",0.07,31.59,0.01,3.25,1545
"Jinx",0.06,32.69,0.01,1.97,1300
"Senna",0.06,31.99,0.01,19.53,1713
"Lucian",0.15,38.13,0.03,3.8,4325
"Zed",0.33,37.73,0.04,29.92,5828
"Kled",1.96,48.12,0.06,2.22,9612
"Nami",0.03,24.68,0,0.91,385
"Azir",0.19,25.82,0,0.19,364
"Yuumi",0.73,14.5,0.03,1.44,4041
"Thresh",0.06,29.42,0.01,6.85,1550
"Illaoi",0.09,30.45,0,8.72,693
"Kalista",0.26,35.76,0,0.14,576
"Bard",0.63,36.07,0.02,0.38,3319
"Rakan",0.1,37.94,0,0.42,651
"Xayah",0.04,28.14,0,0.99,366
"Ornn",1.34,44.12,0.11,5.01,17753
"Neeko",1.07,42.22,0.03,0.57,5204
"Aphelios",0.12,29,0.01,42.05,1555
"Pyke",0.54,37.54,0.06,18.65,9843
"Ekko",73.52,52.88,13.62,29.72,2113195
"Sett",14.74,54.43,3.04,58.38,472086
"Master Yi",95.3,52.03,13.54,28.75,2100888
"Elise",99.44,50.74,8.45,9.6,1310701
"Shaco",79.43,51.8,6.12,10.96,948792
"Rek'Sai",99.3,50.09,3.19,1.72,495437
"Zac",87.23,51.5,5.27,2.02,816808
"Karthus",78,49.63,1.6,0.45,247903
"Jax",54.51,50.1,6.97,10.47,1081229
"Nunu",93.4,50.97,2.72,0.43,422383
"Trundle",70.47,52.68,2.64,0.37,408867
"Jarvan IV",95.94,50.73,7.88,1.3,1222987
"Olaf",82.63,49.79,6,8.72,930662
"Maokai",11.86,50.12,0.24,0.13,36948
"Shyvana",93.81,51.95,3.14,0.56,486290
"Ivern",90.99,51.11,0.76,0.18,117661
"Warwick",95.67,52,8.6,3.81,1334372
"Volibear",55.33,51.88,2.28,0.71,354155
"Vi",97.97,51.74,5.65,0.88,876301
"Nocturne",77.04,51.14,6.02,5.86,934311
"Lee Sin",98.76,47.94,21.75,24.2,3374338
"Kha'Zix",98.92,49.46,6.88,3.25,1067947
"Poppy",21.81,49.46,0.57,0.27,88212
"Rammus",95.73,50.65,3.07,4.04,476898
"Graves",90.73,49.65,2.99,0.34,464295
"Amumu",96.86,51.61,4.88,0.66,756493
"Rengar",67.01,47.61,3.45,2.63,535650
"Taliyah",44.16,48.03,0.82,0.14,127519
"Nidalee",92.8,47.67,3.33,0.62,515983
"Pantheon",25.66,46.51,1.16,1.45,180463
"Skarner",60.59,49.91,0.39,0.07,60785
"Xin Zhao",94.79,49.55,4.09,0.6,633914
"Udyr",92.54,50.6,1.84,0.58,286018
"Sion",5.68,48.92,0.09,0.11,13644
"Dr. Mundo",40.72,50.9,1.85,2.06,287584
"Cho'Gath",10.85,48.32,0.41,0.96,63129
"Kindred",92.87,48.49,2.08,0.32,322001
"Sylas",13.06,47.72,1.09,3.4,169135
"Kayn",97.83,49.66,7.51,3.4,1164213
"Rumble",5.14,46.66,0.22,0.82,33625
"Tahm Kench",2.91,42.22,0.04,0.27,6667
"Hecarim",94.03,48.74,3.03,0.95,469761
"Camille",11.86,45.54,0.4,0.61,62040
"Evelynn",99.46,48.13,3.37,3.79,522756
"Gragas",86.6,45.96,2.68,0.26,415783
"Diana",17.37,47.75,2.17,24.79,336470
"Shen",3.87,45.9,0.2,0.43,31694
"Fiddlesticks",31.3,48.4,0.93,0.66,144624
"Riven",3.72,41.81,0.18,1.23,28361
"Wukong",47.8,47.08,0.96,0.18,149381
"Sejuani",96.41,47.64,1.82,0.26,282383
"Aatrox",3.92,43.88,0.25,3.74,38756
"Tryndamere",11.03,45.81,0.63,5.04,97573
"Qiyana",19.91,38.19,1.15,5.16,177761
"Urgot",2,45.84,0.06,1.76,9927
"Singed",2.61,42.55,0.07,0.53,10678
"Quinn",4.41,44.05,0.12,3.02,19247
"Malphite",12.29,47.84,1.22,3.4,189985
"Twitch",41.48,45.45,1.62,0.66,250844
"Teemo",2.34,42.43,0.18,10.05,28405
"Nasus",4.06,44.12,0.26,4.68,40091
