"JungleMerged4.champName","JungleMerged4.winRate.x","JungleMerged4.gamesPlayed.x","JungleMerged4.gamesWon.x","JungleMerged4.winRate.y","JungleMerged4.gamesPlayed.y","JungleMerged4.gamesWon.y","JungleMerged4.HOlessequal","JungleMerged4.HOgreaterequal","JungleMerged4.HOequal"
"Camille",0.4429,56751,25135,0.4494,53483,24035,0.0151,0.9849,0.0301
"Cho'Gath",0.4958,68662,34043,0.4926,76859,37861,0.8887,0.1113,0.2226
"Diana",0.4933,383285,189074,0.4882,315046,153805,1,0,0
"Dr. Mundo",0.5128,297968,152798,0.5107,329804,168431,0.9517,0.0483,0.0965
"Ekko",0.5137,1591326,817464,0.5098,1722436,878098,1,0,0
"Elise",0.5049,1210250,611055,0.5078,1228812,623991,0,1,0
"Evelynn",0.4827,516065,249105,0.478,557967,266708,1,0,0
"Fiddlesticks",0.4775,126695,60497,0.4697,174487,81957,1,0,0
"Gragas",0.455,506406,230415,0.4575,588266,269132,0.0044,0.9956,0.0088
"Hecarim",0.4951,447387,221501,0.4964,511273,253796,0.1019,0.8981,0.2038
"Ivern",0.5022,91776,46090,0.4991,102420,51118,0.9137,0.0863,0.1727
"Jarvan IV",0.5067,1269476,643243,0.5055,1468899,742528,0.9762,0.0238,0.0476
"Jax",0.5024,951673,478121,0.5005,1121848,561485,0.9968,0.0032,0.0064
"Karthus",0.4893,435189,212938,0.4845,422935,204912,1,0,0
"Kha'Zix",0.492,926340,455759,0.4939,1018433,503004,0.0041,0.9959,0.0081
"Kindred",0.4798,321120,154073,0.477,340271,162309,0.9886,0.0114,0.0227
"Lee Sin",0.476,3308128,1574669,0.4797,3640733,1746460,0,1,0
"Malphite",0.4773,207045,98823,0.4772,241532,115259,0.5273,0.4727,0.9455
"Maokai",0.5127,63492,32552,0.5087,81450,41434,0.9342,0.0658,0.1317
"Master Yi",0.5183,2226524,1154007,0.5155,2492844,1285061,1,0,0
"Nidalee",0.4648,482486,224259,0.4642,509619,236565,0.7251,0.2749,0.5497
"Nocturne",0.5069,851735,431744,0.5092,968233,493024,0.001,0.999,0.002
"Nunu",0.5197,465655,242001,0.5162,527134,272107,0.9998,2e-04,5e-04
"Olaf",0.5005,947347,474147,0.5027,1097788,551858,9e-04,0.9991,0.0017
"Pantheon",0.4577,194189,88880,0.4557,243539,110981,0.9062,0.0938,0.1875
"Poppy",0.4994,102407,51142,0.5062,190713,96539,2e-04,0.9998,4e-04
"Qiyana",0.3947,64160,25324,0.3746,104489,39142,1,0,0
"Rek'Sai",0.4891,505845,247409,0.4919,548581,269847,0.002,0.998,0.0041
"Rengar",0.4695,476325,223635,0.4745,540372,256407,0,1,0
"Sejuani",0.505,653295,329914,0.5034,696649,350693,0.9684,0.0316,0.0631
"Shaco",0.5132,944003,484462,0.5161,1096948,566135,0,1,0
"Shyvana",0.5264,676180,355941,0.5245,824591,432498,0.9898,0.0102,0.0204
"Skarner",0.4969,84453,41965,0.4974,92893,46205,0.4173,0.5827,0.8345
"Taliyah",0.475,117845,55976,0.4741,110333,52309,0.6657,0.3343,0.6685
"Trundle",0.5286,512662,270993,0.5296,639353,338601,0.1427,0.8573,0.2854
"Tryndamere",0.4598,109699,50440,0.4551,124748,56773,0.9887,0.0113,0.0226
"Twitch",0.4571,150592,68836,0.4516,156324,70596,0.9989,0.0011,0.0022
"Vi",0.5146,826952,425549,0.5119,860898,440694,0.9998,2e-04,5e-04
"Volibear",0.534,358482,191429,0.5319,454746,241879,0.9702,0.0298,0.0595
"Warwick",0.5202,1260333,655625,0.5291,1601353,847276,0,1,0
"Wukong",0.4653,143367,66709,0.4621,152256,70357,0.9597,0.0403,0.0807
"Xin Zhao",0.4896,567721,277956,0.4913,616890,303078,0.0322,0.9678,0.0644
"Zac",0.5285,1297445,685700,0.5258,1673342,879843,1,0,0
