"JungleRisk9.champName","JungleRisk9.winRate.x","JungleRisk9.gamesPlayed.x","JungleRisk9.gamesWon.x","JungleRisk9.winRate.y","JungleRisk9.gamesPlayed.y","JungleRisk9.gamesWon.y","JungleRisk9.HOlessequal","JungleRisk9.HOgreaterequal","JungleRisk9.HOequal","JungleRisk9.riskDifference","JungleRisk9.riskLower","JungleRisk9.riskUpper"
"Amumu",0.5258,1225528,644383,0.5269,1081152,569659,0.0475,0.9525,0.0951,-0.0011,-0.0018,-4e-04
"Ekko",0.5056,1718149,868696,0.508,1596728,811138,0,1,0,-0.0024,-0.0029,-0.0019
"Elise",0.4958,945397,468728,0.498,872166,434339,0.0015,0.9985,0.003,-0.0022,-0.0029,-0.0015
"Evelynn",0.4902,849725,416535,0.4888,878989,429650,0.9671,0.0329,0.0657,0.0014,6e-04,0.0022
"Graves",0.5108,2195415,1121418,0.5099,1907755,972764,0.9656,0.0344,0.0689,9e-04,4e-04,0.0014
"Hecarim",0.4951,599561,296843,0.4968,561542,278974,0.0336,0.9664,0.0672,-0.0017,-0.0026,-8e-04
"Jarvan IV",0.4979,1223418,609140,0.4993,1008015,503302,0.0187,0.9813,0.0374,-0.0014,-0.0021,-7e-04
"Jax",0.4919,1102762,542449,0.4933,926391,456989,0.0235,0.9765,0.0469,-0.0014,-0.0021,-7e-04
"Master Yi",0.5167,2260204,1167847,0.5128,1893868,971176,1,0,0,0.0039,0.0034,0.0044
"Nunu",0.5143,601407,309304,0.5108,566309,289271,0.9999,1e-04,2e-04,0.0035,0.0026,0.0044
"Olaf",0.4959,926355,459379,0.5003,842425,421465,0,1,0,-0.0044,-0.0052,-0.0036
"Pantheon",0.4484,191583,85906,0.4429,190913,84555,0.9997,3e-04,6e-04,0.0055,0.0039,0.0071
"Rammus",0.5165,758113,391565,0.5188,649086,336746,0.0032,0.9968,0.0065,-0.0023,-0.0031,-0.0015
"Rek'Sai",0.4888,446298,218150,0.4915,444716,218578,0.0054,0.9946,0.0108,-0.0027,-0.0038,-0.0016
"Shaco",0.5076,988510,501768,0.5061,844734,427520,0.9786,0.0214,0.0429,0.0015,8e-04,0.0022
"Shyvana",0.5192,849080,440842,0.5233,798646,417931,0,1,0,-0.0041,-0.0049,-0.0033
"Skarner",0.4918,101320,49829,0.4988,87614,43702,0.0012,0.9988,0.0024,-0.007,-0.0093,-0.0047
"Sylas",0.4651,598240,278241,0.4678,495974,232017,0.0024,0.9976,0.0048,-0.0027,-0.0037,-0.0017
"Tryndamere",0.4528,117840,53358,0.4573,96183,43984,0.0189,0.9811,0.0378,-0.0045,-0.0067,-0.0023
"Twitch",0.4551,174744,79526,0.4494,152416,68496,0.9995,5e-04,0.0011,0.0057,0.004,0.0074
"Warwick",0.5201,1842095,958074,0.5186,1585553,822268,0.9972,0.0028,0.0056,0.0015,0.001,0.002
