"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Diana",0.4712,162025,76346,0.478,116064,55479,0.0017,-0.0106,-0.0025,4e-04
"Amumu",0.5269,1081152,569659,0.5258,856127,450152,0,-0.0541,-0.0459,0
"Camille",0.4363,48363,21101,0.4475,41332,18496,0,0.0222,0.0358,0
"Cho'Gath",0.4895,73641,36047,0.4885,52089,25445,0.0012,-0.0161,-0.004,1e-04
"Dr. Mundo",0.5202,214510,111588,0.5228,186548,97527,0,-0.0481,-0.04,0
"Ekko",0.508,1596728,811138,0.5078,1333055,676925,0,-0.0325,-0.0244,0
"Elise",0.498,872166,434339,0.4994,675759,337474,0,-0.0258,-0.0177,0
"Evelynn",0.4888,878989,429650,0.4886,774574,378457,0,-0.0147,-0.0066,0
"Gragas",0.4454,335623,149486,0.452,274456,124054,0,0.0251,0.0333,0
"Ivern",0.5033,132363,66618,0.5026,164940,82899,0,-0.0285,-0.0204,0
"Jarvan IV",0.4993,1008015,503302,0.4985,746990,372375,0,-0.0265,-0.0183,0
"Jax",0.4933,926391,456989,0.495,747228,369878,0,-0.0228,-0.0147,0
"Karthus",0.4715,245793,115891,0.4757,188479,89659,0.2473,-0.0017,0.0065,0.2159
"Kha'Zix",0.4896,953261,466717,0.4899,737107,361109,0,-0.0176,-0.0094,0
"Kindred",0.4874,337222,164362,0.4897,303569,148658,0,-0.0152,-0.0071,0
"Lee Sin",0.4756,2810630,1336736,0.4779,2316739,1107170,0.2972,-0.0062,0.0019,0.9452
"Malphite",0.4689,172933,81088,0.4666,135224,63096,0,0.0074,0.0155,0
"Master Yi",0.5128,1893868,971176,0.5139,1560656,802021,0,-0.0373,-0.0292,0
"Nocturne",0.4966,677832,336611,0.4935,539861,266421,0,-0.0204,-0.0123,0
"Nunu",0.5108,566309,289271,0.5125,455435,233410,0,-0.0382,-0.0301,0
"Olaf",0.5003,842425,421465,0.503,746225,375351,0,-0.0294,-0.0213,0
"Pantheon",0.4429,190913,84555,0.4492,129610,58221,0,0.0245,0.0326,0
"Poppy",0.5046,148598,74983,0.5067,135971,68897,0,-0.0324,-0.0243,0
"Qiyana",0.3826,30195,11553,0.3918,21046,8246,0,0.0808,0.0996,0
"Rammus",0.5188,649086,336746,0.5221,530962,277215,0,-0.0477,-0.0396,0
"Rek'Sai",0.4915,444716,218578,0.4934,372963,184020,0,-0.02,-0.0119,0
"Rengar",0.4767,487118,232209,0.4803,400588,192402,0.1031,-0.0075,7e-04,0.1681
"Sejuani",0.4926,466420,229758,0.4934,342993,169233,0,-0.021,-0.0129,0
"Sett",0.506,329592,166774,0.5076,265176,134603,0,-0.0334,-0.0252,0
"Shaco",0.5061,844734,427520,0.5092,702935,357935,0,-0.0343,-0.0262,0
"Shyvana",0.5233,798646,417931,0.5229,677489,354259,0,-0.0468,-0.0387,0
"Skarner",0.4988,87614,43702,0.5007,71358,35729,0,-0.0288,-0.0184,0
"Sylas",0.4678,495974,232017,0.4715,389362,183584,0.0025,0.0022,0.0104,1e-04
"Taliyah",0.4683,65662,30750,0.4721,51776,24443,0.0552,-1e-04,0.0121,0.0251
"Trundle",0.5209,969746,505141,0.5234,816121,427158,0,-0.0491,-0.0409,0
"Tryndamere",0.4573,96183,43984,0.4566,77106,35207,0,0.0167,0.0266,0
"Vi",0.5091,776323,395226,0.5093,599831,305494,0,-0.0363,-0.0282,0
"Warwick",0.5186,1585553,822268,0.5188,1264837,656197,0,-0.045,-0.0369,0
"Wukong",0.5118,588191,301036,0.5156,455532,234872,0,-0.0421,-0.034,0
"Xin Zhao",0.4963,655214,325183,0.4957,503552,249611,0,-0.0213,-0.0131,0
"Zac",0.5151,1240630,639049,0.518,1032598,534886,0,-0.0448,-0.0367,0
