"MiddleBalanced10.champName","MiddleBalanced10.winRate.x","MiddleBalanced10.gamesPlayed.x","MiddleBalanced10.gamesWon.x","MiddleBalanced10.winRate.y","MiddleBalanced10.gamesPlayed.y","MiddleBalanced10.gamesWon.y"
"Annie",0.5239,702966,368284,0.5238,588571,308293
"Cassiopeia",0.5106,664298,339191,0.5108,635697,324714
"Diana",0.518,1457748,755113,0.5182,1190197,616760
"Gangplank",0.4658,52401,24408,0.4678,46597,21798
"Irelia",0.462,762085,352083,0.462,622013,287370
"Katarina",0.5049,1207572,609703,0.5038,1057314,532675
"Kled",0.5469,42079,23013,0.5471,34072,18641
"Lucian",0.4623,345604,159773,0.4626,301903,139660
"Lux",0.5065,939320,475766,0.5228,872778,456288
"Syndra",0.5071,1406952,713465,0.4928,1055368,520085
"Talon",0.4977,945996,470822,0.4895,707374,346260
"Twisted Fate",0.4917,828715,407479,0.4931,770318,379844
