"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Viktor",0.5089,303682,154544,0.5134,295439,151678,4e-04,-0.0071,-0.002,5e-04
"Aatrox",0.4852,115182,55886,0.484,99370,48095,0,0.023,0.0318,0
"Ahri",0.515,1591394,819568,0.5149,1302158,670481,0.208,-0.0042,9e-04,0.1405
"Akali",0.4527,1523378,689633,0.4561,1218180,555612,0,0.0544,0.0595,0
"Anivia",0.5165,322727,166688,0.5167,257417,133007,0.0168,-0.0061,-6e-04,0.0143
"Annie",0.509,382466,194675,0.5091,323168,164525,0.0015,0.0016,0.0067,7e-04
"Brand",0.5023,216132,108563,0.497,171152,85063,0,0.0131,0.0198,0
"Camille",0.5063,60718,30742,0.5118,54865,28080,0.7226,-0.0049,0.007,0.4919
"Cassiopeia",0.5126,732247,375350,0.5106,577975,295114,0.0057,0.001,0.0061,0.0133
"Cho'Gath",0.5086,161459,82118,0.5119,140822,72087,0.7203,-0.003,0.0044,0.355
"Diana",0.5342,1726009,922034,0.537,1530161,821696,0,-0.028,-0.0229,0
"Ekko",0.5165,864174,446346,0.5191,706860,366931,1e-04,-0.0077,-0.0026,0
"Fizz",0.5277,1693834,893836,0.525,1359444,713708,0,-0.0137,-0.0086,0
"Galio",0.4921,377521,185778,0.488,289688,141368,0,0.0229,0.028,0
"Gangplank",0.4767,48875,23299,0.4739,45631,21625,0,0.0303,0.0433,0
"Heimerdinger",0.5174,202324,104682,0.518,152582,79037,0.0028,-0.0089,-0.0019,0.0035
"Irelia",0.4515,618674,279331,0.4523,570521,258047,0,0.0581,0.0632,0
"Karthus",0.4849,55934,27122,0.4792,44095,21130,0,0.0296,0.0428,0
"Katarina",0.508,1510386,767276,0.5061,1276628,646101,0,0.0047,0.0098,0
"Kayle",0.5181,64588,33463,0.514,55607,28582,0.8998,-0.0055,0.0063,0.7947
"Kennen",0.5198,60191,31287,0.5167,53378,27580,0.0173,-0.0133,-0.0013,0.1612
"Kled",0.5406,51003,27572,0.5426,48358,26239,0,-0.032,-0.0194,0
"LeBlanc",0.4789,1076140,515363,0.4772,963175,459627,0,0.0338,0.0389,0
"Lissandra",0.4911,299176,146925,0.4859,245564,119320,0,0.0252,0.0307,0
"Lucian",0.4767,262387,125080,0.4756,249059,118452,0,0.0349,0.0404,0
"Lux",0.5167,1142956,590565,0.5113,874788,447279,0.1408,-6e-04,0.0045,0.0485
"Malphite",0.5226,248948,130100,0.523,199365,104268,0,-0.0125,-0.0063,0
"Malzahar",0.5223,804364,420119,0.521,661079,344422,0,-0.0101,-0.005,0
"Morgana",0.5205,187072,97371,0.521,155286,80904,0,-0.0117,-0.0047,0
"Neeko",0.4991,400074,199677,0.4972,297321,147828,0,0.0136,0.0187,0
"Nocturne",0.5254,249787,131238,0.5259,193049,101524,0,-0.0163,-0.01,0
"Orianna",0.4939,810231,400173,0.4906,702457,344625,0,0.0219,0.027,0
"Pantheon",0.4915,175235,86128,0.4964,194479,96539,0,0.013,0.0192,0
"Quinn",0.5174,47852,24759,0.5167,35086,18129,0.7971,-0.0084,0.0064,0.2419
"Renekton",0.5073,131993,66960,0.5116,130333,66678,0.0783,-4e-04,0.0073,0.2784
"Rumble",0.5365,268418,144006,0.534,297854,159054,0,-0.0231,-0.018,0
"Ryze",0.4586,774071,354989,0.4558,622401,283690,0,0.055,0.0601,0
"Swain",0.5375,175715,94447,0.5357,139015,74470,0,-0.0262,-0.0188,0
"Syndra",0.4904,909276,445909,0.4847,654940,317449,0,0.0243,0.0294,0
"Taliyah",0.5086,74957,38123,0.5007,57673,28877,0,0.0092,0.0208,0
"Talon",0.4898,1041542,510147,0.4911,989975,486177,0,0.0198,0.0249,0
"Taric",0.6333,75582,47866,0.6387,117258,74893,0,-0.1284,-0.1204,0
"Twisted Fate",0.4934,552101,272407,0.4919,494457,243223,0,0.0194,0.0245,0
"Veigar",0.5119,1109238,567819,0.5101,867265,442392,0.0025,0.0014,0.0065,0.002
"Vel'Koz",0.5332,372744,198747,0.5268,300374,158237,0,-0.0158,-0.0107,0
"Vladimir",0.5048,930667,469801,0.5016,793027,397782,0,0.0089,0.014,0
"Wukong",0.5434,95529,51910,0.55,81328,44730,0,-0.0402,-0.0306,0
"Xerath",0.5059,565241,285955,0.5032,426881,214807,0,0.0074,0.0125,0
"Yasuo",0.5008,2765409,1384917,0.4984,2338073,1165296,0,0.0124,0.0175,0
"Zed",0.4916,2039424,1002581,0.4937,1685549,832156,0,0.0173,0.0224,0
"Zilean",0.5378,90957,48917,0.5357,77074,41289,0,-0.03,-0.02,0
"Zoe",0.4883,558066,272504,0.4845,494483,239577,0,0.026,0.0311,0
