"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.56,48.98,0.04,8.72,6327
"Xin Zhao",1.64,47.04,0.07,0.6,10941
"Master Yi",1.32,49.42,0.19,28.75,29180
"Alistar",0.33,34.83,0.01,0.49,1648
"Sivir",0.73,41.98,0.02,0.35,3340
"Soraka",1.23,50.27,0.13,4.65,20036
"Warwick",0.19,45.73,0.02,3.81,2661
"Miss Fortune",0.45,45.06,0.11,9.91,17272
"Ashe",0.66,42.98,0.08,1.69,11656
"Jax",1.05,49.27,0.13,10.47,20738
"Evelynn",0.21,41.05,0.01,3.79,1128
"Twitch",0.64,46.4,0.02,0.66,3877
"Amumu",0.29,42.61,0.01,0.66,2234
"Rammus",0.47,41.12,0.02,4.04,2354
"Shaco",1,50.77,0.08,10.96,11895
"Dr. Mundo",1.35,49.46,0.06,2.06,9553
"Janna",0.5,42.25,0.02,0.26,3439
"Trundle",0.49,46.04,0.02,0.37,2819
"Caitlyn",0.62,40.81,0.13,18.31,20659
"Blitzcrank",0.22,36.62,0.03,28.24,4345
"Maokai",1.5,51.05,0.03,0.13,4668
"Jarvan IV",0.84,49.29,0.07,1.3,10747
"Elise",0.15,42.06,0.01,9.6,2009
"Lee Sin",0.39,44.35,0.09,24.2,13316
"Vayne",0.98,47.61,0.15,9.72,23400
"Skarner",0.89,50.33,0.01,0.07,896
"Nidalee",1.82,42.9,0.07,0.62,10145
"Udyr",0.4,39.45,0.01,0.58,1247
"Poppy",1.92,48.81,0.05,0.27,7758
"Yorick",1.36,50.42,0.04,1.33,6236
"Leona",0.14,39.02,0.02,31.48,3688
"Shen",1.14,50.51,0.06,0.43,9347
"Shyvana",1.23,51.07,0.04,0.56,6382
"Volibear",1.26,51.57,0.05,0.71,8053
"Rengar",0.07,39.11,0,2.63,583
"Nautilus",1.03,47.21,0.15,32.69,23927
"Sejuani",0.37,43.77,0.01,0.26,1092
"Draven",1.37,44.36,0.07,8.13,11236
"Hecarim",0.25,42.93,0.01,0.95,1251
"Kha'Zix",0.55,48.77,0.04,3.25,5979
"Darius",1.76,50.95,0.21,37.52,32402
"Kayn",1.09,46.53,0.08,3.4,12982
"Kai'Sa",0.78,41.19,0.11,2.67,17593
"Gnar",1.31,47.81,0.03,0.57,4576
"Zac",0.48,51.84,0.03,2.02,4491
"Braum",0.12,34.68,0,0.83,770
"Jhin",1.49,47.89,0.23,3.25,34983
"Kindred",0.94,45.1,0.02,0.32,3266
"Jinx",0.24,42.6,0.04,1.97,5709
"Tahm Kench",1.07,43.34,0.02,0.27,2448
"Senna",1.48,47.97,0.29,19.53,45437
"Vi",0.56,48.18,0.03,0.88,4983
"Nami",0.13,39.31,0.01,0.91,1857
"Yuumi",0.85,23.87,0.03,1.44,4722
"Thresh",0.11,30.26,0.02,6.85,2911
"Rek'Sai",0.14,48.16,0,1.72,681
"Ivern",1.6,47.61,0.01,0.18,2069
"Bard",0.62,40.06,0.02,0.38,3263
"Rakan",0.54,46.43,0.02,0.42,3504
"Xayah",0.28,39.27,0.02,0.99,2643
"Sett",4.71,55.9,0.97,58.38,150750
"Diana",78.99,53.7,9.86,24.79,1530161
"Ekko",24.59,51.91,4.56,29.72,706860
"Taric",24.75,63.87,0.76,1.31,117258
"Pyke",6.93,51.96,0.82,18.65,126968
"Katarina",97.29,50.61,8.23,7.48,1276628
"Aurelion Sol",94.06,52.3,0.82,0.17,127357
"Cassiopeia",77.61,51.06,3.73,4.27,577975
"Kled",9.85,54.26,0.31,2.22,48358
"Rumble",45.55,53.4,1.92,0.82,297854
"Fizz",96.26,52.5,8.76,19.33,1359444
"Zilean",17.21,53.57,0.5,0.49,77074
"Sona",2.26,54.55,0.1,0.3,16112
"Camille",10.49,51.18,0.35,0.61,54865
"Mordekaiser",10.92,52.18,1.41,27.25,218313
"Vladimir",56.01,50.16,5.11,9.25,793027
"Vel'Koz",40.6,52.68,1.94,0.71,300374
"Singed",2.39,53.87,0.06,0.53,9775
"Lulu",3.91,52.78,0.24,1.28,36894
"Taliyah",19.97,50.07,0.37,0.14,57673
"Pantheon",27.65,49.64,1.25,1.45,194479
"Tryndamere",3.26,51.74,0.19,5.04,28821
"Heimerdinger",35.51,51.8,0.98,1.23,152582
"Yasuo",71.49,49.84,15.07,48.33,2338073
"Fiora",2.69,50.26,0.2,8.38,30732
"Wukong",26.02,55,0.52,0.18,81328
"Ahri",96.63,51.49,8.39,3.65,1302158
"Renekton",10.76,51.16,0.84,5.89,130333
"Kennen",15.75,51.67,0.34,0.57,53378
"Anivia",84.65,51.67,1.66,0.41,257417
"Karthus",13.87,47.92,0.28,0.45,44095
"Ziggs",78.45,51.07,2.3,0.22,356375
"Graves",2.17,51.2,0.07,0.34,11109
"Malzahar",89.8,52.1,4.26,5.32,661079
"Kassadin",95.38,49.94,5.06,10.16,784924
"Malphite",12.9,52.3,1.29,3.4,199365
"Nocturne",15.92,52.59,1.24,5.86,193049
"Swain",15.83,53.57,0.9,2.22,139015
"Talon",96.81,49.11,6.38,5.16,989975
"Cho'Gath",24.2,51.19,0.91,0.96,140822
"Garen",5.42,52.07,0.65,7.79,101429
