"MiddleMerged5.champName","MiddleMerged5.winRate.x","MiddleMerged5.gamesPlayed.x","MiddleMerged5.gamesWon.x","MiddleMerged5.winRate.y","MiddleMerged5.gamesPlayed.y","MiddleMerged5.gamesWon.y","MiddleMerged5.HOlessequal","MiddleMerged5.HOgreaterequal","MiddleMerged5.HOequal"
"Aatrox",0.4905,124714,61172,0.4991,110033,54917,0,1,0
"Ahri",0.5127,1347147,690682,0.5103,1423288,726304,1,0,1e-04
"Akali",0.4354,643018,279970,0.4333,669671,290168,0.9924,0.0076,0.0152
"Annie",0.5073,391896,198809,0.5034,430140,216532,0.9998,2e-04,4e-04
"Aurelion Sol",0.5088,110186,56063,0.5039,116285,58596,0.9902,0.0098,0.0197
"Azir",0.4592,281217,129135,0.4591,315968,145061,0.5309,0.4691,0.9381
"Brand",0.4959,197301,97842,0.4956,226135,112073,0.5772,0.4228,0.8456
"Camille",0.5155,57295,29536,0.5057,52314,26455,0.9994,6e-04,0.0012
"Cassiopeia",0.5085,664956,338130,0.5099,683011,348267,0.0521,0.9479,0.1041
"Cho'Gath",0.5096,161949,82529,0.5067,167883,85066,0.9521,0.0479,0.0958
"Corki",0.4719,104381,49257,0.4684,111023,52003,0.948,0.052,0.1041
"Diana",0.5286,1742468,921069,0.5245,1722512,903458,1,0,0
"Ekko",0.5167,1012830,523329,0.5159,1157204,597002,0.8801,0.1199,0.2398
"Fizz",0.5226,1506152,787115,0.52,1641319,853486,1,0,0
"Galio",0.4956,371584,184157,0.4922,383289,188655,0.9984,0.0016,0.0031
"Gangplank",0.4703,58947,27723,0.47,56197,26413,0.5401,0.4599,0.9197
"Heimerdinger",0.5112,213940,109366,0.5115,226938,116079,0.4207,0.5793,0.8413
"Irelia",0.4536,732351,332194,0.4528,814944,369007,0.8406,0.1594,0.3188
"Jayce",0.4986,103858,51784,0.4905,113577,55710,0.9999,1e-04,2e-04
"Karma",0.4946,64684,31993,0.492,68512,33708,0.8289,0.1711,0.3422
"Karthus",0.4785,49739,23800,0.4794,52315,25080,0.3861,0.6139,0.7722
"Kassadin",0.5008,891992,446710,0.4977,915340,455565,1,0,0
"Katarina",0.5077,1571471,797836,0.5073,1630358,827081,0.7628,0.2372,0.4743
"Kayle",0.5119,67520,34563,0.5109,73174,37385,0.6443,0.3557,0.7113
"Kennen",0.5158,55175,28459,0.5094,63566,32381,0.986,0.014,0.0281
"Kled",0.5582,59371,33141,0.5491,56901,31244,0.9991,9e-04,0.0018
"LeBlanc",0.4797,1272921,610620,0.4754,1195227,568211,1,0,0
"Lucian",0.4659,355653,165699,0.4641,352720,163697,0.9358,0.0642,0.1285
"Lux",0.5142,1079906,555288,0.5138,1289576,662584,0.7305,0.2695,0.5391
"Malphite",0.5181,290315,150412,0.5152,300851,154998,0.9872,0.0128,0.0257
"Malzahar",0.5155,687454,354383,0.5179,707342,366332,0.0023,0.9977,0.0046
"Mordekaiser",0.5264,276958,145791,0.5256,284201,149376,0.7261,0.2739,0.5478
"Nocturne",0.5373,280046,150469,0.5332,371347,198002,0.9995,5e-04,0.001
"Orianna",0.4855,685523,332821,0.4834,686680,331941,0.9931,0.0069,0.0139
"Pantheon",0.493,559992,276076,0.4874,662623,322962,1,0,0
"Pyke",0.5218,215767,112587,0.5183,197337,102280,0.9877,0.0123,0.0246
"Qiyana",0.4638,514743,238738,0.4621,431982,199619,0.9508,0.0492,0.0985
"Quinn",0.5167,39404,20360,0.5088,36017,18325,0.985,0.015,0.0299
"Renekton",0.5158,175455,90500,0.5138,182979,94015,0.8844,0.1156,0.2311
"Riven",0.4855,63276,30720,0.4859,61192,29733,0.4432,0.5568,0.8864
"Rumble",0.5164,333479,172209,0.5186,305195,158274,0.0395,0.9605,0.0791
"Swain",0.528,138104,72919,0.531,142062,75435,0.0559,0.9441,0.1117
"Sylas",0.4875,1582751,771591,0.4838,1524966,737779,1,0,0
"Syndra",0.4998,847663,423662,0.5042,1008314,508392,0,1,0
"Taliyah",0.5016,66126,33169,0.4965,57601,28599,0.9633,0.0367,0.0734
"Talon",0.4942,1084968,536191,0.4963,1151800,571638,8e-04,0.9992,0.0017
"Vel'Koz",0.5306,436936,231838,0.528,493895,260777,0.9939,0.0061,0.0122
"Viktor",0.507,400031,202816,0.5055,381820,193010,0.9077,0.0923,0.1846
"Vladimir",0.4972,947350,471022,0.5003,956527,478550,0,1,0
"Yasuo",0.4976,2705490,1346252,0.4996,2748518,1373160,0,1,0
"Zed",0.4991,1909520,953041,0.4966,1988508,987493,1,0,0
"Ziggs",0.5062,378610,191652,0.5066,388678,196904,0.3629,0.6371,0.7259
"Zilean",0.5352,114790,61436,0.5333,118090,62977,0.8218,0.1782,0.3564
"Zoe",0.4796,751396,360370,0.477,664698,317061,0.999,0.001,0.002
