"MiddleRisk1.champName","MiddleRisk1.winRate.x","MiddleRisk1.gamesPlayed.x","MiddleRisk1.gamesWon.x","MiddleRisk1.winRate.y","MiddleRisk1.gamesPlayed.y","MiddleRisk1.gamesWon.y","MiddleRisk1.HOlessequal","MiddleRisk1.HOgreaterequal","MiddleRisk1.HOequal","MiddleRisk1.riskDifference","MiddleRisk1.riskLower","MiddleRisk1.riskUpper"
"Akali",0.4527,1523378,689633,0.4561,1218180,555612,0,1,0,-0.0034,-0.004,-0.0028
"Brand",0.5023,216132,108563,0.497,171152,85063,0.9995,5e-04,0.0011,0.0053,0.0037,0.0069
"Camille",0.5063,60718,30742,0.5118,54865,28080,0.031,0.969,0.0621,-0.0055,-0.0084,-0.0026
"Cassiopeia",0.5126,732247,375350,0.5106,577975,295114,0.9885,0.0115,0.0229,0.002,0.0011,0.0029
"Cho'Gath",0.5086,161459,82118,0.5119,140822,72087,0.035,0.965,0.0701,-0.0033,-0.0051,-0.0015
"Diana",0.5342,1726009,922034,0.537,1530161,821696,0,1,0,-0.0028,-0.0034,-0.0022
"Ekko",0.5165,864174,446346,0.5191,706860,366931,6e-04,0.9994,0.0012,-0.0026,-0.0034,-0.0018
"Fizz",0.5277,1693834,893836,0.525,1359444,713708,1,0,0,0.0027,0.0021,0.0033
"Galio",0.4921,377521,185778,0.488,289688,141368,0.9995,5e-04,9e-04,0.0041,0.0029,0.0053
"Karthus",0.4849,55934,27122,0.4792,44095,21130,0.9634,0.0366,0.0732,0.0057,0.0025,0.0089
"Katarina",0.508,1510386,767276,0.5061,1276628,646101,0.9992,8e-04,0.0016,0.0019,0.0013,0.0025
"LeBlanc",0.4789,1076140,515363,0.4772,963175,459627,0.9924,0.0076,0.0153,0.0017,0.001,0.0024
"Lissandra",0.4911,299176,146925,0.4859,245564,119320,0.9999,1e-04,1e-04,0.0052,0.0038,0.0066
"Lux",0.5167,1142956,590565,0.5113,874788,447279,1,0,0,0.0054,0.0047,0.0061
"Orianna",0.4939,810231,400173,0.4906,702457,344625,1,0,1e-04,0.0033,0.0025,0.0041
"Pantheon",0.4915,175235,86128,0.4964,194479,96539,0.0015,0.9985,0.0029,-0.0049,-0.0065,-0.0033
"Renekton",0.5073,131993,66960,0.5116,130333,66678,0.0139,0.9861,0.0277,-0.0043,-0.0063,-0.0023
"Rumble",0.5365,268418,144006,0.534,297854,159054,0.9701,0.0299,0.0597,0.0025,0.0012,0.0038
"Ryze",0.4586,774071,354989,0.4558,622401,283690,0.9995,5e-04,0.001,0.0028,0.002,0.0036
"Syndra",0.4904,909276,445909,0.4847,654940,317449,1,0,0,0.0057,0.0049,0.0065
"Taliyah",0.5086,74957,38123,0.5007,57673,28877,0.9978,0.0022,0.0044,0.0079,0.0051,0.0107
"Talon",0.4898,1041542,510147,0.4911,989975,486177,0.0319,0.9681,0.0638,-0.0013,-0.002,-6e-04
"Taric",0.6333,75582,47866,0.6387,117258,74893,0.008,0.992,0.016,-0.0054,-0.0076,-0.0032
"Veigar",0.5119,1109238,567819,0.5101,867265,442392,0.994,0.006,0.012,0.0018,0.0011,0.0025
"Vel'Koz",0.5332,372744,198747,0.5268,300374,158237,1,0,0,0.0064,0.0052,0.0076
"Vladimir",0.5048,930667,469801,0.5016,793027,397782,1,0,0,0.0032,0.0024,0.004
"Wukong",0.5434,95529,51910,0.55,81328,44730,0.0027,0.9973,0.0055,-0.0066,-0.009,-0.0042
"Xerath",0.5059,565241,285955,0.5032,426881,214807,0.9961,0.0039,0.0078,0.0027,0.0017,0.0037
"Yasuo",0.5008,2765409,1384917,0.4984,2338073,1165296,1,0,0,0.0024,0.002,0.0028
"Zed",0.4916,2039424,1002581,0.4937,1685549,832156,0,1,1e-04,-0.0021,-0.0026,-0.0016
"Zoe",0.4883,558066,272504,0.4845,494483,239577,1,0,1e-04,0.0038,0.0028,0.0048
