"SupportBalanced5.champName","SupportBalanced5.winRate.x","SupportBalanced5.gamesPlayed.x","SupportBalanced5.gamesWon.x","SupportBalanced5.winRate.y","SupportBalanced5.gamesPlayed.y","SupportBalanced5.gamesWon.y"
"Alistar",0.5043,740136,373251,0.5039,765491,385731
"Anivia",0.4585,44907,20590,0.4568,45965,20997
"Bard",0.5049,620471,313276,0.5113,642562,328542
"Blitzcrank",0.5162,2222170,1147084,0.5149,2260014,1163681
"Morgana",0.4867,2101492,1022796,0.4987,2414672,1204197
"Neeko",0.4895,195313,95606,0.4898,185305,90762
"Senna",0.5153,2577532,1328202,0.4934,1935141,954799
"Shaco",0.5246,272157,142774,0.526,250342,131680
"Sona",0.5266,722100,380258,0.523,768876,402122
"Soraka",0.4883,968274,472808,0.4968,1010036,501786
"Veigar",0.4803,251543,120816,0.485,290348,140819
"Xerath",0.5006,458765,229658,0.5101,586205,299023
