"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Olaf",0.16,37.6,0.01,6.15,1431
"Twisted Fate",1.24,43.47,0.07,0.66,10212
"Xin Zhao",0.49,38.38,0.02,0.51,2684
"Urgot",0.37,41.65,0.02,4.99,3354
"Vladimir",0.18,31.46,0.01,8,2130
"Master Yi",0.18,31.62,0.02,32.46,3077
"Ryze",0.44,31.43,0.02,0.46,2418
"Sivir",0.46,30.39,0.02,0.44,2544
"Tristana",0.48,28.27,0.04,2.17,6117
"Warwick",0.14,30.69,0.01,6.02,1844
"Tryndamere",0.18,31.3,0.01,6.04,1655
"Jax",0.21,38.06,0.03,9.89,3812
"Evelynn",0.14,31.02,0.01,6.67,1096
"Twitch",0.56,34.59,0.02,0.81,3484
"Amumu",1.74,47.71,0.1,1.24,15384
"Rammus",1.41,42.76,0.05,5.33,7961
"Dr. Mundo",1.34,41.54,0.05,1.53,7794
"Kassadin",0.14,26.68,0.01,13.14,1222
"Irelia",0.16,29.27,0.02,6.91,2272
"Gangplank",0.35,34.34,0.01,0.88,1625
"Corki",0.24,29.71,0.01,0.29,791
"Trundle",1.52,45.2,0.1,1.86,14576
"Caitlyn",0.4,31.61,0.08,16.16,11282
"Katarina",0.45,38.91,0.03,8.09,4873
"Nocturne",0.19,36.71,0.01,2.9,1482
"Renekton",0.2,32.85,0.02,8.8,2740
"Jarvan IV",1.88,47.1,0.1,0.82,14740
"Elise",0.27,40.18,0.01,7.96,1827
"Wukong",0.72,46.01,0.05,6.14,7698
"Lee Sin",0.57,41.27,0.09,18.18,13366
"Vayne",0.29,26.15,0.05,15.13,7240
"Cassiopeia",0.43,40.26,0.02,4.57,3470
"Skarner",1.61,45.75,0.01,0.06,1412
"Nasus",0.33,35.43,0.03,9.55,3963
"Udyr",0.3,31.53,0.01,0.55,1015
"Ezreal",0.52,33.14,0.15,10.65,21659
"Mordekaiser",0.73,40.28,0.08,15.28,11991
"Yorick",0.25,35.06,0.01,1.57,1101
"Akali",0.31,31.72,0.02,5.1,3181
"Garen",0.31,34.06,0.04,12.31,6406
"Talon",0.27,31.47,0.01,4.72,1970
"Riven",0.36,36.42,0.01,0.66,1966
"Kog'Maw",0.75,38.14,0.01,0.2,1846
"Shyvana",0.15,37.22,0.01,1.99,1099
"Ahri",1.85,48.44,0.14,2.66,20047
"Graves",0.15,38.21,0.01,12.63,2099
"Fizz",0.44,43.05,0.04,20.24,5345
"Rengar",0.88,43.02,0.03,2.15,4958
"Varus",1.62,44.34,0.17,16.48,24872
"Viktor",0.91,43.91,0.02,0.21,2840
"Sejuani",1.27,44.19,0.03,0.29,4494
"Fiora",0.12,33.36,0.01,8.95,1253
"Draven",0.34,24.29,0.02,7.35,2421
"Hecarim",0.13,26.52,0.01,1.43,1003
"Kha'Zix",0.08,30.88,0,1.9,612
"Darius",0.29,37.85,0.03,48.59,4637
"Jayce",0.31,35.46,0.01,0.49,1207
"Diana",0.26,41.98,0.02,15.53,3511
"Quinn",0.58,41.83,0.02,2.12,2436
"Syndra",1.72,45.15,0.14,6.45,20392
"Kayn",0.08,36.13,0.01,16.25,1929
"Kai'Sa",0.26,27.4,0.04,2.49,6278
"Gnar",0.49,38.67,0.01,0.84,2167
"Yasuo",0.33,33.1,0.06,49.59,9525
"Camille",1.05,44.67,0.03,0.54,5122
"Jhin",0.38,33.96,0.06,4.78,8546
"Kindred",0.23,33.38,0.01,0.37,749
"Jinx",0.38,30.1,0.05,1.7,6850
"Lucian",0.33,28.55,0.05,3.64,7465
"Zed",0.42,37.99,0.04,27.74,6307
"Kled",0.57,43.84,0.01,1.51,2014
"Ekko",0.33,43.47,0.05,16.54,7606
"Qiyana",0.96,45.01,0.02,0.6,2895
"Vi",0.35,43.06,0.01,0.62,2148
"Aatrox",0.3,35.24,0.02,4.64,2843
"Azir",0.92,39.07,0.02,0.29,2396
"Illaoi",0.67,39.45,0.03,10.45,4129
"Rek'Sai",0.15,38.94,0,1.57,583
"Kalista",0.35,25.67,0.01,1.22,1936
"Xayah",0.32,25.16,0.01,0.6,2087
"Sylas",1.23,44.42,0.13,12.54,19824
"Aphelios",0.32,22.93,0.02,10.25,3620
"Janna",98.74,51.99,4.25,0.29,629767
"Lulu",96.18,51.08,9.16,4.76,1356869
