"SupportMerged3.champName","SupportMerged3.winRate.x","SupportMerged3.gamesPlayed.x","SupportMerged3.gamesWon.x","SupportMerged3.winRate.y","SupportMerged3.gamesPlayed.y","SupportMerged3.gamesWon.y","SupportMerged3.HOlessequal","SupportMerged3.HOgreaterequal","SupportMerged3.HOequal"
"Alistar",0.49,548283,268659,0.4903,511253,250667,0.3793,0.6207,0.7586
"Anivia",0.4535,36727,16656,0.4483,42473,19041,0.9288,0.0712,0.1425
"Bard",0.5157,675341,348273,0.5192,681028,353590,0,1,0
"Blitzcrank",0.5253,2233637,1173330,0.5233,2133335,1116374,1,0,0
"Brand",0.5191,953658,495044,0.5216,916861,478235,3e-04,0.9997,6e-04
"Braum",0.4841,752725,364394,0.484,671830,325166,0.5471,0.4529,0.9057
"Fiddlesticks",0.4928,314109,154793,0.4923,297369,146395,0.6519,0.3481,0.6962
"Janna",0.5182,686444,355715,0.5247,654643,343491,0,1,0
"Karma",0.4927,582542,287018,0.497,568129,282360,0,1,0
"Lulu",0.5062,931779,471667,0.511,890917,455259,0,1,0
"Maokai",0.5206,117622,61234,0.5266,153606,80889,0.001,0.999,0.0019
"Morgana",0.4892,1963818,960700,0.4902,1914586,938530,0.0245,0.9755,0.0489
"Nami",0.5307,1465077,777516,0.5351,1340349,717221,0,1,0
"Neeko",0.4736,128076,60657,0.4729,122029,57708,0.6366,0.3634,0.7269
"Poppy",0.4744,57279,27173,0.4811,58493,28141,0.0112,0.9888,0.0224
"Pyke",0.488,1869528,912330,0.4892,1752602,857373,0.0112,0.9888,0.0224
"Rakan",0.49,716902,351282,0.4928,670827,330584,5e-04,0.9995,0.001
"Shaco",0.5238,219653,115054,0.5234,236520,123795,0.6058,0.3942,0.7885
"Shen",0.4816,141141,67974,0.4843,141477,68517,0.0759,0.9241,0.1518
"Sion",0.4866,29006,14114,0.4945,28864,14273,0.0286,0.9714,0.0573
"Swain",0.5185,691076,358323,0.5199,638026,331710,0.0532,0.9468,0.1065
"Tahm Kench",0.4521,154000,69623,0.4449,139518,62072,1,0,1e-04
"Taliyah",0.5011,22404,11227,0.4961,18593,9224,0.844,0.156,0.312
"Taric",0.5273,403364,212694,0.5277,400300,211238,0.3601,0.6399,0.7203
"Thresh",0.4912,3065458,1505753,0.4908,2735012,1342344,0.8319,0.1681,0.3361
"Veigar",0.4776,236314,112864,0.4775,230246,109942,0.5283,0.4717,0.9434
"Vel'Koz",0.5057,447736,226420,0.5074,428587,217465,0.0558,0.9442,0.1115
"Volibear",0.4927,56125,27653,0.498,63210,31479,0.0337,0.9663,0.0674
"Xerath",0.4959,422642,209588,0.5007,404193,202379,0,1,0
"Ziggs",0.486,43312,21050,0.4898,45724,22396,0.1284,0.8716,0.2569
"Zilean",0.5163,399532,206278,0.5196,420549,218517,0.0014,0.9986,0.0028
"Zyra",0.5168,676572,349652,0.5153,636076,327770,0.9571,0.0429,0.0858
