"SupportRisk4.champName","SupportRisk4.winRate.x","SupportRisk4.gamesPlayed.x","SupportRisk4.gamesWon.x","SupportRisk4.winRate.y","SupportRisk4.gamesPlayed.y","SupportRisk4.gamesWon.y","SupportRisk4.HOlessequal","SupportRisk4.HOgreaterequal","SupportRisk4.HOequal","SupportRisk4.riskDifference","SupportRisk4.riskLower","SupportRisk4.riskUpper"
"Anivia",0.4483,42473,19041,0.4585,44907,20590,0.0012,0.9988,0.0025,-0.0102,-0.0136,-0.0068
"Annie",0.4636,59727,27689,0.4711,66943,31537,0.0037,0.9963,0.0075,-0.0075,-0.0103,-0.0047
"Fiddlesticks",0.4923,297369,146395,0.4897,350870,171821,0.9816,0.0184,0.0369,0.0026,0.0014,0.0038
"Galio",0.4769,134135,63969,0.4821,149408,72030,0.0028,0.9972,0.0056,-0.0052,-0.0071,-0.0033
"Janna",0.5247,654643,343491,0.5219,815474,425596,0.9996,4e-04,7e-04,0.0028,0.002,0.0036
"Lulu",0.511,890917,455259,0.5082,1039848,528451,0.9999,1e-04,1e-04,0.0028,0.0021,0.0035
"Morgana",0.4902,1914586,938530,0.4867,2101492,1022796,1,0,0,0.0035,0.003,0.004
"Nami",0.5351,1340349,717221,0.5309,1423575,755776,1,0,0,0.0042,0.0036,0.0048
"Pyke",0.4892,1752602,857373,0.488,1914110,934086,0.9892,0.0108,0.0217,0.0012,7e-04,0.0017
"Rakan",0.4928,670827,330584,0.487,690141,336099,1,0,0,0.0058,0.0049,0.0067
"Senna",0.5084,2017159,1025524,0.5153,2577532,1328202,0,1,0,-0.0069,-0.0074,-0.0064
"Sion",0.4945,28864,14273,0.502,34225,17181,0.0301,0.9699,0.0602,-0.0075,-0.0115,-0.0035
"Tahm Kench",0.4449,139518,62072,0.4514,188494,85086,1e-04,0.9999,2e-04,-0.0065,-0.0083,-0.0047
"Thresh",0.4908,2735012,1342344,0.4864,2970969,1445079,1,0,0,0.0044,0.004,0.0048
"Veigar",0.4775,230246,109942,0.4803,251543,120816,0.0259,0.9741,0.0518,-0.0028,-0.0042,-0.0014
"Vel'Koz",0.5074,428587,217465,0.511,480541,245556,3e-04,0.9997,6e-04,-0.0036,-0.0047,-0.0025
"Yuumi",0.4881,1263070,616504,0.4903,1704854,835890,1e-04,0.9999,2e-04,-0.0022,-0.0028,-0.0016
