"TopBalanced10.champName","TopBalanced10.winRate.x","TopBalanced10.gamesPlayed.x","TopBalanced10.gamesWon.x","TopBalanced10.winRate.y","TopBalanced10.gamesPlayed.y","TopBalanced10.gamesWon.y"
"Cassiopeia",0.5125,78787,40378,0.5182,85542,44328
"Gangplank",0.4691,461243,216369,0.4716,420451,198285
"Hecarim",0.4946,68840,34048,0.5015,97135,48713
"Irelia",0.4631,1009319,467416,0.4659,790673,368375
"Kalista",0.4662,55650,25944,0.4675,44469,20789
"Kled",0.5175,382478,197932,0.5179,309696,160392
"Maokai",0.5166,816649,421881,0.5194,547190,284210
"Udyr",0.451,39513,17820,0.4526,27558,12473
"Vayne",0.4877,391279,190827,0.4976,365484,181865
"Volibear",0.5199,377408,196214,0.4356,931338,405691
