"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"LeBlanc",1.04,47.17,0.07,13.13,13796
"Fiddlesticks",1.12,42.1,0.03,0.65,6356
"Alistar",0.87,43.51,0.04,0.63,6610
"Sivir",0.35,39.28,0.01,0.4,2342
"Nunu",1.18,30.98,0.04,0.43,6611
"Miss Fortune",0.18,38.92,0.04,10.95,7787
"Ashe",0.75,43.01,0.09,1.73,17506
"Morgana",0.74,48.75,0.09,31.57,17419
"Evelynn",0.1,32.73,0,3.25,550
"Twitch",1.46,49.26,0.05,0.49,9123
"Amumu",1.21,49.73,0.09,1.53,16137
"Caitlyn",0.64,42.93,0.14,15.8,25136
"Blitzcrank",0.18,36.14,0.02,33.22,4087
"Katarina",1.28,48.54,0.11,8.83,20659
"Jarvan IV",1.41,45.7,0.12,1.5,21577
"Elise",0.22,44.58,0.01,11.44,2759
"Orianna",1,48.71,0.04,0.55,7152
"Brand",1.17,47.69,0.08,7.05,15198
"Lee Sin",0.46,42.34,0.09,24.47,16985
"Ezreal",0.66,41.14,0.17,4.45,30801
"Leona",0.31,42.69,0.04,29.4,7098
"Lux",0.45,46.67,0.08,4.2,14150
"Xerath",0.56,47.5,0.03,1.33,5396
"Ahri",1.07,50.86,0.08,3.42,14962
"Fizz",1.77,49.17,0.15,20.72,27679
"Varus",0.57,43.38,0.04,0.42,6484
"Nautilus",1.89,47.92,0.25,30.3,46703
"Ziggs",1.93,48.03,0.05,0.21,10003
"Draven",1.66,47,0.06,6.52,11446
"Kha'Zix",1.65,47.09,0.09,2.49,17222
"Syndra",1,49.87,0.05,1.78,9491
"Kayn",1.3,45.07,0.11,3.52,20342
"Zoe",0.85,45.56,0.04,2.9,6784
"Zyra",0.69,48.42,0.03,1.73,5299
"Kai'Sa",0.38,39.9,0.06,2.32,11085
"Vel'Koz",1.5,51.31,0.08,0.99,14403
"Taliyah",0.81,46.24,0.01,0.08,1834
"Braum",0.4,36.25,0.02,0.94,2833
"Jhin",0.7,46.5,0.1,3.47,18378
"Kindred",0.98,41.54,0.02,0.32,3628
"Jinx",0.2,41.91,0.03,1.73,4767
"Senna",0.95,47.84,0.16,24.96,30410
"Ekko",1.83,47.89,0.28,20.04,51323
"Vi",1.32,44.2,0.06,0.75,11627
"Nami",0.1,36.94,0.01,0.63,1486
"Yuumi",0.31,28.14,0.03,7.72,5356
"Thresh",0.19,31.63,0.03,6.93,5583
"Rek'Sai",0.8,44.74,0.02,1.67,4421
"Ivern",1.79,37.09,0.01,0.18,2087
"Bard",0.83,40.61,0.03,0.59,5277
"Rakan",0.19,40.09,0.01,0.38,1352
"Xayah",0.16,40.09,0.01,0.67,1397
"Aphelios",0.53,40.64,0.04,32.62,7741
"Pyke",1.03,47.93,0.12,19.31,22384
"Darius",94,51.4,12.33,50.04,2280171
"Kled",86.36,52.66,2.54,1.8,470438
"Fiora",96.51,50.72,6.49,6.9,1201216
"Rengar",30.24,50.88,1.31,2,242600
"Garen",86.51,54.24,18.29,21.84,3382714
"Sett",71.04,50.16,10.44,38.52,1931294
"Shen",79.62,51.47,5,0.67,924288
"Janna",4.86,51.11,0.23,0.34,42199
"Maokai",63.82,52.67,3.05,0.49,564364
"Cassiopeia",8.63,50.73,0.39,4.08,72704
"Diana",2.46,50.88,0.28,21.64,52244
"Zac",9.96,50.97,1.06,11.3,195289
"Shaco",4.48,50.16,0.35,11.57,65317
"Teemo",82.32,51.34,6.38,9.57,1180604
"Singed",90.48,51.69,2.04,0.38,377490
"Karthus",2.89,47.52,0.08,1.1,14477
"Nocturne",6.5,53.88,0.47,4.6,87089
"Zilean",4.4,51.1,0.16,0.64,28816
"Mordekaiser",82.05,49.99,10.72,20.05,1983632
"Sion",78.41,51.81,1.55,0.13,287409
"Kassadin",3.83,48.63,0.19,9.4,35842
"Lulu",2.1,49.42,0.13,1.39,23227
"Yorick",97.29,52.91,2.59,1.2,478509
"Dr. Mundo",57.21,51.12,2.58,1.91,477018
"Volibear",37.56,52.66,1.86,0.95,344440
"Talon",2.17,48.01,0.14,5.23,25370
"Graves",4.93,49.67,0.24,0.61,43700
"Anivia",3.11,50.44,0.07,0.47,12332
"Camille",75.82,48.86,2.01,0.47,371776
"Skarner",16.65,50.45,0.1,0.06,19034
"Kayle",84.68,50.94,2.86,0.64,529124
"Tryndamere",84.39,49.73,5.32,5.15,984316
"Ornn",86.41,49.59,7.48,13.58,1384212
"Jax",50.49,49.19,6.4,9.77,1184177
"Quinn",76.92,50.26,1.8,2.02,332215
"Olaf",14.82,48.69,1.04,7.91,192951
"Malphite",50.71,50.93,5.45,3.06,1007627
"Zed",2.22,48.98,0.24,29.88,44665
"Malzahar",6.33,50.85,0.26,5.23,48524
"Illaoi",95.96,50.72,4.04,8.55,747269
"Urgot",93.35,51.01,2.71,1.5,501172
"Tahm Kench",23.51,48.79,0.53,0.63,97823
"Yasuo",15.19,47.95,3.1,49.47,573311
"Hecarim",5.45,49.14,0.16,0.8,29661
"Renekton",87.94,48.72,7.55,5.75,1396627
"Rammus",3.96,50.27,0.18,5.68,32997
"Neeko",12.83,50.32,0.58,0.9,106572
"Swain",7.56,49.85,0.39,1.93,71436
"Kog'Maw",2.12,47.63,0.02,0.09,4613
"Nasus",92.24,50.34,6.5,4.73,1201570
"Wukong",19.64,49.81,0.4,0.23,74229
