"TopMerged10.champName","TopMerged10.winRate.x","TopMerged10.gamesPlayed.x","TopMerged10.gamesWon.x","TopMerged10.winRate.y","TopMerged10.gamesPlayed.y","TopMerged10.gamesWon.y","TopMerged10.HOlessequal","TopMerged10.HOgreaterequal","TopMerged10.HOequal"
"Aatrox",0.4825,1019982,492141,0.4837,828184,400593,0.0521,0.9479,0.1043
"Akali",0.4543,350747,159344,0.4534,283212,128408,0.7629,0.2371,0.4742
"Camille",0.4889,449721,219869,0.4966,399084,198185,0,1,0
"Cho'Gath",0.4845,402182,194857,0.4876,309640,150980,0.0048,0.9952,0.0095
"Darius",0.4998,1854183,926721,0.5027,1556454,782429,0,1,0
"Dr. Mundo",0.5146,478457,246214,0.5144,374516,192651,0.5728,0.4272,0.8544
"Fiora",0.5059,1332491,674107,0.5064,1007403,510149,0.2243,0.7757,0.4485
"Garen",0.5162,2302052,1188319,0.5186,1888084,979160,0,1,0
"Gnar",0.4895,475253,232636,0.4915,428331,210525,0.0287,0.9713,0.0574
"Gragas",0.4755,30928,14706,0.4742,29795,14129,0.6243,0.3757,0.7514
"Heimerdinger",0.5007,138031,69112,0.5015,114320,57331,0.3452,0.6548,0.6903
"Illaoi",0.5105,719809,367462,0.5111,590020,301559,0.247,0.753,0.4941
"Jax",0.499,1181809,589723,0.5016,1011626,507432,1e-04,0.9999,1e-04
"Jayce",0.4754,352551,167603,0.4784,277056,132544,0.009,0.991,0.018
"Kayle",0.5027,505332,254030,0.5034,393571,198124,0.2546,0.7454,0.5092
"Kennen",0.4824,198199,95611,0.4841,172506,83510,0.1508,0.8492,0.3015
"Malphite",0.5135,1005084,516111,0.5165,808020,417342,0,1,1e-04
"Mordekaiser",0.4994,1705891,851922,0.5019,1402746,704038,0,1,0
"Nasus",0.523,1437636,751884,0.5223,1107152,578265,0.8664,0.1336,0.2672
"Neeko",0.5056,52282,26434,0.5032,41386,20825,0.7685,0.2315,0.4629
"Nocturne",0.5277,67409,35572,0.5314,55420,29450,0.0985,0.9015,0.197
"Olaf",0.4946,197649,97757,0.4985,166228,82865,0.0095,0.9905,0.019
"Ornn",0.498,972914,484511,0.5044,758634,382655,0,1,0
"Pantheon",0.4586,207143,94996,0.4654,132347,61594,1e-04,0.9999,1e-04
"Poppy",0.4948,366716,181451,0.4938,362689,179096,0.8033,0.1967,0.3934
"Quinn",0.5139,386821,198787,0.5175,340119,176012,0.0011,0.9989,0.0022
"Renekton",0.4857,1510972,733879,0.4867,1227114,597236,0.0499,0.9501,0.0998
"Rengar",0.5142,187090,96202,0.5172,150998,78096,0.0415,0.9585,0.083
"Riven",0.4863,579818,281965,0.4883,481934,235328,0.02,0.98,0.0401
"Rumble",0.4859,143100,69532,0.4888,111109,54310,0.0733,0.9267,0.1466
"Ryze",0.4641,166816,77419,0.4691,126200,59200,0.0036,0.9964,0.0072
"Sett",0.4987,1381927,689167,0.5021,1140242,572516,0,1,0
"Shen",0.5107,867184,442871,0.5141,767007,394318,0,1,0
"Shyvana",0.5155,72668,37460,0.5205,64234,33434,0.0321,0.9679,0.0642
"Singed",0.5281,353341,186599,0.5341,293903,156974,0,1,0
"Sion",0.5144,363867,187173,0.5172,280888,145275,0.0129,0.9871,0.0257
"Skarner",0.4992,16719,8346,0.5121,14392,7370,0.0116,0.9884,0.0233
"Sylas",0.471,350719,165189,0.4738,274479,130048,0.0139,0.9861,0.0278
"Tahm Kench",0.4917,106020,52130,0.4971,92388,45926,0.0082,0.9918,0.0164
"Teemo",0.516,1188609,613322,0.5154,967580,498691,0.8095,0.1905,0.381
"Trundle",0.4943,157805,78003,0.4982,121620,60591,0.0205,0.9795,0.041
"Tryndamere",0.4994,911407,455157,0.4999,788257,394050,0.2578,0.7422,0.5156
"Urgot",0.5312,1015618,539496,0.5333,873817,466007,0.002,0.998,0.0039
"Vladimir",0.4769,480424,229114,0.4758,391742,186391,0.8467,0.1533,0.3066
"Wukong",0.5175,530250,274404,0.5203,527846,274638,0.002,0.998,0.0039
"Yasuo",0.4867,429258,208920,0.4944,374365,185086,0,1,0
"Yorick",0.5256,535579,281500,0.5254,419530,220421,0.5768,0.4232,0.8463
