"TopRisk6.champName","TopRisk6.winRate.x","TopRisk6.gamesPlayed.x","TopRisk6.gamesWon.x","TopRisk6.winRate.y","TopRisk6.gamesPlayed.y","TopRisk6.gamesWon.y","TopRisk6.HOlessequal","TopRisk6.HOgreaterequal","TopRisk6.HOequal","TopRisk6.riskDifference","TopRisk6.riskLower","TopRisk6.riskUpper"
"Aatrox",0.4766,1043733,497443,0.4809,1132144,544448,0,1,0,-0.0043,-0.005,-0.0036
"Camille",0.4825,422810,204006,0.4874,405261,197524,0,1,0,-0.0049,-0.006,-0.0038
"Dr. Mundo",0.5159,520793,268677,0.5178,556365,288086,0.0243,0.9757,0.0485,-0.0019,-0.0029,-9e-04
"Jax",0.4938,1208583,596798,0.4951,1258908,623285,0.0206,0.9794,0.0412,-0.0013,-0.0019,-7e-04
"Kalista",0.4489,142728,64071,0.4443,143836,63906,0.9934,0.0066,0.0132,0.0046,0.0027,0.0065
"Kayle",0.5085,551697,280538,0.5055,575052,290689,0.9993,7e-04,0.0015,0.003,0.0021,0.0039
"Kled",0.5206,499856,260225,0.5226,507811,265382,0.0222,0.9778,0.0445,-0.002,-0.003,-0.001
"Malphite",0.5113,1066023,545058,0.5092,1134059,577463,0.9991,9e-04,0.0018,0.0021,0.0014,0.0028
"Maokai",0.5304,716330,379941,0.5271,1002335,528331,1,0,0,0.0033,0.0025,0.0041
"Mordekaiser",0.5022,2142364,1075895,0.5001,2157817,1079124,1,0,0,0.0021,0.0016,0.0026
"Olaf",0.485,197731,95900,0.4888,205001,100204,0.008,0.992,0.016,-0.0038,-0.0054,-0.0022
"Ornn",0.4931,1118447,551506,0.4945,1112491,550127,0.0182,0.9818,0.0365,-0.0014,-0.0021,-7e-04
"Renekton",0.4869,1617080,787356,0.4908,1787648,877378,0,1,0,-0.0039,-0.0044,-0.0034
"Rengar",0.5086,214543,109117,0.5121,220722,113032,0.0105,0.9895,0.021,-0.0035,-0.005,-0.002
"Sett",0.5018,1944230,975615,0.507,2044193,1036406,0,1,0,-0.0052,-0.0057,-0.0047
"Singed",0.5227,392802,205318,0.5273,387853,204515,0,1,0,-0.0046,-0.0057,-0.0035
"Tahm Kench",0.4827,108684,52462,0.4888,111912,54703,0.0021,0.9979,0.0041,-0.0061,-0.0082,-0.004
"Tryndamere",0.4966,1023241,508141,0.4986,1069036,533021,0.0019,0.9981,0.0038,-0.002,-0.0027,-0.0013
"Yasuo",0.4824,592151,285654,0.4844,581423,281641,0.0151,0.9849,0.0303,-0.002,-0.0029,-0.0011
